Token           Significado

inicio          Delimita o início do programa
varinicio       Delimita o início da declaração de variáveis
varfim          Delimita o fim da declaração de variáveis
escreva         Imprime na saída padrão
leia            Lê da saída padrão
se              Estrutura condicional
entao           Elemento de estrutura condicional
fimse           Elemento de estrutura condicional
repita          Elemento de estrutura de repetição
fimrepita       Elemento de estrutura de repetição
fim             Delimita o fim do programa
inteiro         Tipo de dado inteiro
literal         Tipo de dado literal
real            Tipo de dado real
