,inicio,varinicio,varfim,leia,escreva,se,entao,fimse,fimrepita,fim,repita,inteiro,real,literal,pt_v,id,vir,lit,num,rcb,opm,ab_p,fc_p,opr,$,P,V,A,LV,D,TIPO,L,ES,ARG,CMD,LD,OPRD,CP,COND,CAB,R,CABR,CPR,EXP_R
0,s2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,
2,,s4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
3,,,,s25,s26,s30,,,,s24,s31,,,,,s27,,,,,,,,,,,,19,,,,,20,,21,,,,22,28,23,29,,
4,,,s7,,,,,,,,,s9,s10,s11,,,,,,,,,,,,,,,5,6,8,,,,,,,,,,,,,
5,,,,r3,r3,r3,,,,r3,r3,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,s7,,,,,,,,,s9,s10,s11,,,,,,,,,,,,,,,12,6,8,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,s15,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,r4,r4,r4,,,,r4,r4,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,r5,r5,r5,,,,r5,r5,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,r8,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,r6,,,,,,,,,r6,r6,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,s15,,,,,,,,,,,,,,,,18,,,,,,,,,,,,
18,,,,,,,,,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,
20,,,,s25,s26,s30,,,,s24,s31,,,,,s27,,,,,,,,,,,,32,,,,,20,,21,,,,22,28,23,29,,
21,,,,s25,s26,s30,,,,s24,s31,,,,,s27,,,,,,,,,,,,33,,,,,20,,21,,,,22,28,23,29,,
22,,,,s25,s26,s30,,,,s24,s31,,,,,s27,,,,,,,,,,,,34,,,,,20,,21,,,,22,28,23,29,,
23,,,,s25,s26,s30,,,,s24,s31,,,,,s27,,,,,,,,,,,,76,,,,,20,,21,,,,22,28,23,29,,
24,,,,,,,,,,,,,,,,,,,,,,,,,r39,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,s41,,s39,s40,,,,,,,,,,,,,,,37,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,s42,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,s25,s26,s30,,s54,,,,,,,,s27,,,,,,,,,,,,,,,,,51,,52,,,50,53,28,,,,
29,,,,s25,s26,s30,,,s62,,,,,,,s27,,,,,,,,,,,,,,,,,,59,60,,,,61,28,,,58,
30,,,,,,,,,,,,,,,,,,,,,,s66,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,r12,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,r13,r13,r13,,r13,r13,r13,r13,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,r14,r14,r14,,r14,r14,r14,r14,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,s48,,,s49,,,,,,,,,,,,,,,,,43,45,,,,,,,
43,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,r19,r19,r19,,r19,r19,r19,r19,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,r21,,,,,,s46,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,s48,,,s49,,,,,,,,,,,,,,,,,,47,,,,,,,
47,,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,r22,,,,,,r22,,r22,r22,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,r23,,,,,,r23,,r23,r23,,,,,,,,,,,,,,,,,,,,
50,,,,r25,r25,r25,,r25,r25,r25,r25,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,s25,s26,s30,,s54,,,,,,,,s27,,,,,,,,,,,,,,,,,51,,52,,,55,53,28,,,,
52,,,,s25,s26,s30,,s54,,,,,,,,s27,,,,,,,,,,,,,,,,,51,,52,,,56,53,28,,,,
53,,,,s25,s26,s30,,s54,,,,,,,,s27,,,,,,,,,,,,,,,,,51,,52,,,57,53,28,,,,
54,,,,r31,r31,r31,,r31,r31,r31,r31,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,r28,r28,r28,,r28,r28,r28,r28,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,r29,r29,r29,,r29,r29,r29,r29,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,r30,r30,r30,,r30,r30,r30,r30,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,r33,r33,r33,,,,r33,r33,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,s25,s26,s30,,,s62,,,,,,,s27,,,,,,,,,,,,,,,,,59,,60,,,,61,28,,,63,
60,,,,s25,s26,s30,,,s62,,,,,,,s27,,,,,,,,,,,,,,,,,59,,60,,,,61,28,,,64,
61,,,,s25,s26,s30,,,s62,,,,,,,s27,,,,,,,,,,,,,,,,,59,,60,,,,61,28,,,65,
62,,,,r38,r38,r38,,,,r38,r38,,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,r35,r35,r35,,,,r35,r35,,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,r36,r36,r36,,,,r36,r36,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,r37,r37,r37,,,,r37,r37,,,,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,s48,,,s49,,,,,,,,,,,,,,,,,,71,,,,,,,68
67,,,,,,,,,,,,,,,,s48,,,s49,,,,,,,,,,,,,,,,,,71,,,,,,,72
68,,,,,,,,,,,,,,,,,,,,,,,s69,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,r26,r26,r26,,r26,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,s48,,,s49,,,,,s73,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,s75,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,74,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,r27,,,,,,,,,,,,,,,,,,,,,
75,,,,r34,r34,r34,,,r34,,,,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,r32,,,,,,,,,,,,,,,,,,,
